英語表現,意味,由来,例文,日本語訳,近い日本語表現
Nike,勝利の象徴,勝利の女神ニケ,The team invoked the spirit of Nike.,チームは勝利の女神ニケの加護を祈った。,勝利の女神
Lethe,忘却,冥界の忘却の川,He wished to drink from Lethe and forget everything.,彼はレーテーの川の水を飲んで全てを忘れたいと思った。,忘却
Elysium,楽園,死者の魂が行く楽園,They believed fallen heroes went to Elysium.,彼らは戦死した英雄がエリュシオンに行くと信じていた。,極楽浄土
Muse,インスピレーションを与えるもの,芸術の女神ムーサ,She was his muse for many poems.,彼女は彼の多くの詩のインスピレーションだった。,詩神
Siren song,甘い誘惑,セイレーンの歌,The offer was just a siren song leading to ruin.,その申し出は破滅へ導く甘い歌だった。,甘言
Golden fleece,難しいが価値のある目標,アルゴナウタイの冒険,Finding a cure became their golden fleece.,治療法を見つけることが彼らの黄金の羊毛となった。,至難の業
Hades,地獄・冥界,冥界の神ハデス,The battlefield was like Hades itself.,戦場はまるで地獄そのものだった。,地獄絵図
Prodigal son,放蕩息子,『ルカによる福音書』,He returned like the prodigal son to his family.,彼は放蕩息子のように家族のもとへ戻った。,放蕩息子
David and Goliath,小が大に挑む戦い,ダビデが巨人ゴリアテを倒した逸話,The startup was a David facing the Goliath of the industry.,そのスタートアップは業界の巨人に挑むダビデだった。,弱者の逆転
Good Samaritan,親切な人,『善きサマリア人のたとえ』,A good Samaritan helped me when my car broke down.,車が故障したとき親切な人が助けてくれた。,情けは人の為ならず
Doubting Thomas,疑い深い人,復活を疑った使徒トマス,Don’t be a doubting Thomas—trust people sometimes.,疑ってばかりいないで、時には人を信じなさい。,疑心暗鬼
Writing on the wall,不吉な前兆,『ダニエル書』,The falling sales were the writing on the wall.,売上の低迷は不吉な兆候だった。,一葉落ちて天下の秋を知る
Salt of the earth,尊敬すべき人,『マタイによる福音書』,They are the salt of the earth in this community.,彼らはこの地域の誇りのような存在だ。,縁の下の力持ち
Pearls before swine,無駄な行為,『マタイによる福音書』,Don’t cast your pearls before swine.,豚に真珠を投げるな。,猫に小判
By the skin of one’s teeth,かろうじて,『ヨブ記』19章20節,He survived by the skin of his teeth.,彼はかろうじて生き延びた。,九死に一生を得る
Scapegoat,身代わりの犠牲,レビ記の贖罪の儀式,He became the scapegoat for the company’s failure.,彼は会社の失敗の身代わりにされた。,濡れ衣を着せられる
Forbidden fruit,禁断の果実,アダムとイブの物語,The forbidden fruit of gambling tempted him.,ギャンブルという禁断の果実が彼を誘惑した。,禁断の果実
Cast the first stone,最初に非難する,『ヨハネによる福音書』8章,Let him who is without sin cast the first stone.,罪のない者が最初の石を投げよ。,人を呪わば穴二つ
Apocalypse,大災害・世界の終末,ヨハネの黙示録,The film depicts a nuclear apocalypse.,その映画は核の黙示録を描いている。,世も末
Alpha and Omega,始まりと終わり,ヨハネの黙示録,He was the alpha and omega of the movement.,彼はその運動の始まりであり終わりでもあった。,初めから終わりまで
Promised Land,約束の地・理想郷,イスラエルの民に与えられた地,Retirement felt like the promised land.,退職は約束の地に到達したように感じられた。,桃源郷
Job’s comforter,慰めにならない慰めをする人,『ヨブ記』,He was a real Job’s comforter during my illness.,彼は病気のとき、かえって気分を悪くする慰めをした。,下手の慰め
Sodom and Gomorrah,堕落した場所,旧約聖書の都市の滅亡,The city was compared to Sodom and Gomorrah.,その街はソドムとゴモラに例えられた。,酒池肉林
Wash one’s hands of,関わりを断つ,ピラトが手を洗った場面,He washed his hands of the whole affair.,彼はその件から手を引いた。,我関せず
Eye for an eye,報復,旧約聖書の律法,They believed in an eye for an eye.,彼らは「目には目を」の報復を信じていた。,仇討ち
Tower of Babel,混乱した状況,バベルの塔の物語,The meeting turned into a tower of Babel.,会議はバベルの塔のような混乱になった。,群盲象を評す
The powers that be,権力者たち,ローマ人への手紙13章,The powers that be decided the policy.,権力者たちが方針を決めた。,お上
Judas kiss,裏切りの行為,ユダの接吻,It was a Judas kiss that ruined their trust.,それは信頼を壊すユダの接吻だった。,裏切りの一撃
Double-edged sword,諸刃の剣,聖書の比喩,Technology is a double-edged sword.,技術は諸刃の剣だ。,功罪相半ばする
Lamb to the slaughter,無防備な犠牲者,イザヤ書,He went to the exam like a lamb to the slaughter.,彼はまるで子羊のように無防備に試験に臨んだ。,虎穴に入らずんば虎子を得ず
Valley of the shadow of death,死の危険,詩篇23篇,He walked through the valley of the shadow of death.,彼は死の影の谷を歩いた。,死地に赴く
Apple of one’s eye,大切な人,旧約聖書,His daughter is the apple of his eye.,彼の娘は目に入れても痛くないほど大事な存在だ。,目に入れても痛くない
Gordian knot,難問を一気に解決,アレクサンドロス大王が結び目を断ち切った逸話,He cut the Gordian knot by resigning.,彼は辞任することで難題を一気に解決した。,一刀両断
Pyrrhic victory,大きな犠牲を伴う勝利,ピュロス王の戦い,Winning the lawsuit was a Pyrrhic victory.,裁判に勝ったが費用で破産した。,骨折り損のくたびれ儲け
Spartan lifestyle,質素で厳しい生活,古代スパルタの生活様式,"He lives a Spartan lifestyle, with few possessions.",彼は持ち物の少ない質素な生活を送っている。,質実剛健
Cross the Rubicon,後戻りできない決断,カエサルがルビコン川を渡った事件,"By signing the contract, she crossed the Rubicon.",契約書に署名して後戻りできない決断をした。,背水の陣
Sword of Damocles,危険と隣り合わせの立場,ダモクレスの剣,Lawsuits are a sword of Damocles for CEOs.,訴訟はCEOの頭上に吊るされた剣だ。,薄氷を踏む
Waterloo,決定的敗北,ナポレオンのワーテルローの戦い,The scandal was his Waterloo.,そのスキャンダルが彼の決定的敗北だった。,破滅の一撃
Meet one’s Waterloo,最後の敗北を喫する,ナポレオンの敗戦,He finally met his Waterloo in the finals.,彼は決勝戦でついに致命的な敗北を喫した。,最後の土俵際
Nero fiddled while Rome burned,無関心な指導者,ネロ帝が火事に無関心だった伝説,The leader fiddled while Rome burned.,指導者は国難に無関心だった。,知らぬ顔の半兵衛
Caesar’s wife,潔白であることを求められる人,カエサルの妻ポンペイアの逸話,A judge must be like Caesar’s wife.,裁判官は潔白でなければならない。,清廉潔白
Bread and circuses,大衆操作,ローマ帝国の政策,The policy was mere bread and circuses.,その政策はただのパンとサーカスだった。,安物の餌で人を釣る
"Et tu, Brute?",裏切りの言葉,カエサルの最後の言葉,"It felt like an 'Et tu, Brute?' moment.",それは「ブルータス、お前もか」と言いたくなる裏切りの瞬間だった。,飼い犬に手を噛まれる
Draconian laws,過酷な法律,古代アテネの立法者ドラコン,The measures were criticized as draconian.,その対策は過酷だと批判された。,苛政は虎よりも猛し
Spartacus,反乱の象徴,剣闘士スパルタクス,He became a Spartacus for the workers.,彼は労働者にとってのスパルタクスとなった。,義賊
Janus-faced,二面性のある,二つの顔を持つ神ヤヌス,"The policy is Janus-faced, both good and bad.",その政策は善悪両面を持つ二面性がある。,二枚舌
Shot heard round the world,世界に影響を与えた事件,アメリカ独立戦争の発端,It was the shot heard round the world.,それは世界に衝撃を与えた出来事だった。,天下に響く一発
Cold War,冷戦,20世紀の米ソ対立,The Cold War shaped global politics.,冷戦は世界政治を形作った。,冷戦
Iron Curtain,東西の分断,チャーチルの演説,Families were separated by the Iron Curtain.,家族は鉄のカーテンに隔てられた。,高い壁
Boston Tea Party,抵抗の象徴,アメリカ独立前の事件,The protest was their Boston Tea Party.,その抗議は彼らのボストン茶会事件だった。,一揆
Thirty pieces of silver,裏切りの報酬,ユダがイエスを売った銀貨30枚,He took his thirty pieces of silver.,彼は裏切りの報酬を受け取った。,裏切りの代償
The Spanish Inquisition,予想外の尋問,中世スペイン宗教裁判,No one expects the Spanish Inquisition!,誰もスペイン宗教裁判を予期しない！,青天の霹靂
The Great Fire of London,大災害の例え,1666年ロンドン大火,The scandal spread like the Great Fire of London.,そのスキャンダルはロンドン大火のように広がった。,火の粉が飛ぶ
Waterloo moment,致命的な敗北の瞬間,ナポレオンの敗北,The team faced its Waterloo moment.,チームは致命的な敗北の瞬間に直面した。,土壇場の敗北
Magna Carta,基本権の象徴,1215年の大憲章,Freedom was guaranteed by their own Magna Carta.,自由は彼ら自身のマグナカルタで保証された。,憲法
Carthaginian peace,徹底的な破壊的平和,ローマとカルタゴの戦争,The treaty imposed a Carthaginian peace.,その条約は徹底的な破壊的平和を強いた。,焦土作戦
Armageddon,最終戦争,ヨハネの黙示録と歴史の混用,They feared nuclear armageddon.,彼らは核戦争という最終戦争を恐れた。,最終戦争
Catch-22,矛盾して抜け出せない状況,ジョーゼフ・ヘラー『Catch-22』,"It’s a Catch-22: need experience for a job, need a job for experience.",仕事を得るには経験が必要だが、経験を得るには仕事が必要という矛盾だ。,袋小路
Big Brother,監視する権力,ジョージ・オーウェル『1984』,It feels like Big Brother is watching us.,まるでビッグブラザーが監視しているように感じる。,監視社会
Albatross around one’s neck,重荷,コールリッジ『老水夫の歌』,His student debt is an albatross around his neck.,学生ローンが彼の首にかかった重荷だ。,十字架を背負う
Tilting at windmills,無意味な戦い,セルバンテス『ドン・キホーテ』,"He’s tilting at windmills, fighting imaginary problems.",彼は風車に突撃するドン・キホーテのように無意味な戦いをしている。,犬の遠吠え
Walter Mitty,空想ばかりの人,ジェイムズ・サーバー『ウォルター・ミティの秘密の生活』,"He’s a real Walter Mitty, always daydreaming.",彼は本物のウォルター・ミティのようにいつも空想ばかりしている。,夢想家
Brave New World,新しい世界,オルダス・ハクスリー『すばらしい新世界』,They promised a brave new world with technology.,彼らは技術で素晴らしい新世界を約束した。,新天地
Frankenstein’s monster,自分が作った脅威,メアリー・シェリー『フランケンシュタイン』,Social media became a Frankenstein’s monster.,ソーシャルメディアは自分で作った怪物となった。,藪蛇
Quixotic,非現実的な理想主義,セルバンテス『ドン・キホーテ』,His plans were noble but quixotic.,彼の計画は立派だが非現実的だった。,机上の空論
Scrooge,けちん坊,ディケンズ『クリスマス・キャロル』,Don’t be such a Scrooge.,そんなけちけちするな。,吝嗇家
Romeo,情熱的な恋人,シェイクスピア『ロミオとジュリエット』,He thinks he’s a real Romeo.,彼は自分を本物のロミオだと思っている。,熱烈な恋人
Jekyll and Hyde,二重人格,スティーヴンソン『ジキル博士とハイド氏』,He has a Jekyll and Hyde personality.,彼にはジキルとハイドのような二重人格がある。,二面性
Kafkaesque,不条理な状況,フランツ・カフカの作品,The bureaucracy was truly Kafkaesque.,その官僚主義はまさにカフカ的だった。,不条理
Don Juan,女たらし,スペイン伝説のドン・ファン,He acted like a modern Don Juan.,彼は現代のドンファンのように振る舞った。,色好み
Svengali,操る人,ジョージ・デュ・モーリア『トリルビー』,The manager was a Svengali behind the star.,そのマネージャーはスターを操るスヴェンガリだった。,黒幕
Uncle Tom,従順な黒人,ハリエット・ビーチャー・ストウ『アンクル・トムの小屋』,He was criticized as an Uncle Tom.,彼はアンクル・トムだと批判された。,長い物には巻かれろ
Dracula,吸血鬼,ブラム・ストーカー『ドラキュラ』,The movie featured a modern Dracula.,その映画には現代版ドラキュラが登場した。,吸血鬼
Peter Pan,大人にならない人,バリー『ピーターパン』,He’s a Peter Pan who refuses to grow up.,彼は大人になることを拒むピーターパンのような人だ。,三つ子の魂百まで
Lolita,早熟な少女,ナボコフ『ロリータ』,The film portrayed a modern Lolita.,その映画は現代のロリータを描いた。,ませた少女
The Scarlet Letter,罪の象徴,ナサニエル・ホーソーン『緋文字』,She wore her mistake like a scarlet letter.,彼女は自分の過ちを緋文字のように背負っていた。,罪人の烙印
Grinch,嫌なやつ・しらけさせる人,ドクター・スース『グリンチ』,Don’t be a grinch about the holidays.,休日に水を差すな。,興ざめ
Utopia,理想郷,トマス・モア『ユートピア』,They dreamed of building a utopia.,彼らはユートピアを築くことを夢見た。,理想郷
Pandemonium,大混乱,ミルトン『失楽園』,The stadium was pure pandemonium.,スタジアムは完全な大混乱だった。,阿鼻叫喚
Babbitt,俗物的な人,シンクレア・ルイス『バビット』,He’s just another babbitt.,彼はただの俗物にすぎない。,凡庸な人物
Yahoo,野蛮人,スウィフト『ガリヴァー旅行記』,The critics called them yahoos.,批評家は彼らをヤフーと呼んだ。,野蛮人
Heathcliff,暗く情熱的な恋人,エミリー・ブロンテ『嵐が丘』,He acted like a brooding Heathcliff.,彼は陰鬱で情熱的なヒースクリフのように振る舞った。,情熱的な恋人
